State,state,region,division,Confirmed Activities,Activity Category,cat_tot,facilities_confirmed_ag,pct_of_facilities_confirmed_ag,facilities_tot,pct_of_facilities_tot
Alabama,AL,South,East South Central,1,Crops & Silviculture,1,3,0.3333333333333333,26,0.038461538461538464
Alabama,AL,South,East South Central,1,Horticulture & Landscaping,2,3,0.6666666666666666,26,0.07692307692307693
Alaska,AK,West,Pacific,1,Animal Agriculture,1,10,0.1,12,0.08333333333333333
Alaska,AK,West,Pacific,1,Crops & Silviculture,1,10,0.1,12,0.08333333333333333
Alaska,AK,West,Pacific,1,Food Processing & Production,9,10,0.9,12,0.75
Alaska,AK,West,Pacific,1,Horticulture & Landscaping,6,10,0.6,12,0.5
Arizona,AZ,West,Mountain,1,Animal Agriculture,3,5,0.6,10,0.3
Arizona,AZ,West,Mountain,1,Crops & Silviculture,1,5,0.2,10,0.1
Arizona,AZ,West,Mountain,1,Food Processing & Production,4,5,0.8,10,0.4
Arizona,AZ,West,Mountain,1,Horticulture & Landscaping,3,5,0.6,10,0.3
Arkansas,AR,South,West South Central,1,Animal Agriculture,6,15,0.4,26,0.23076923076923078
Arkansas,AR,South,West South Central,1,Crops & Silviculture,6,15,0.4,26,0.23076923076923078
Arkansas,AR,South,West South Central,1,Food Processing & Production,3,15,0.2,26,0.11538461538461539
Arkansas,AR,South,West South Central,1,Horticulture & Landscaping,15,15,1,26,0.5769230769230769
California,CA,West,Pacific,1,Animal Agriculture,3,10,0.3,35,0.08571428571428572
California,CA,West,Pacific,1,Crops & Silviculture,2,10,0.2,35,0.05714285714285714
California,CA,West,Pacific,1,Food Processing & Production,5,10,0.5,35,0.14285714285714285
California,CA,West,Pacific,1,Horticulture & Landscaping,4,10,0.4,35,0.11428571428571428
Colorado,CO,West,Mountain,1,Animal Agriculture,5,18,0.2777777777777778,18,0.2777777777777778
Colorado,CO,West,Mountain,1,Crops & Silviculture,3,18,0.16666666666666666,18,0.16666666666666666
Colorado,CO,West,Mountain,1,Food Processing & Production,1,18,0.05555555555555555,18,0.05555555555555555
Colorado,CO,West,Mountain,1,Horticulture & Landscaping,18,18,1,18,1
Connecticut,CT,Northeast,New England,1,Horticulture & Landscaping,4,4,1,13,0.3076923076923077
Delaware,DE,South,South Atlantic,1,Animal Agriculture,2,5,0.4,9,0.2222222222222222
Delaware,DE,South,South Atlantic,1,Horticulture & Landscaping,4,5,0.8,9,0.4444444444444444
Florida,FL,South,South Atlantic,1,Animal Agriculture,4,29,0.13793103448275862,100,0.04
Florida,FL,South,South Atlantic,1,Crops & Silviculture,23,29,0.7931034482758621,100,0.23
Florida,FL,South,South Atlantic,1,Food Processing & Production,1,29,0.034482758620689655,100,0.01
Florida,FL,South,South Atlantic,1,Horticulture & Landscaping,4,29,0.13793103448275862,100,0.04
Georgia,GA,South,South Atlantic,1,Animal Agriculture,6,54,0.1111111111111111,65,0.09230769230769231
Georgia,GA,South,South Atlantic,1,Crops & Silviculture,8,54,0.14814814814814814,65,0.12307692307692308
Georgia,GA,South,South Atlantic,1,Food Processing & Production,6,54,0.1111111111111111,65,0.09230769230769231
Georgia,GA,South,South Atlantic,1,Horticulture & Landscaping,53,54,0.9814814814814815,65,0.8153846153846154
Hawaii,HI,West,Pacific,1,Animal Agriculture,3,4,0.75,8,0.375
Hawaii,HI,West,Pacific,1,Crops & Silviculture,2,4,0.5,8,0.25
Hawaii,HI,West,Pacific,1,Horticulture & Landscaping,3,4,0.75,8,0.375
Idaho,ID,West,Mountain,1,Crops & Silviculture,3,12,0.25,13,0.23076923076923078
Idaho,ID,West,Mountain,1,Food Processing & Production,3,12,0.25,13,0.23076923076923078
Idaho,ID,West,Mountain,1,Horticulture & Landscaping,12,12,1,13,0.9230769230769231
Illinois,IL,Midwest,East North Central,1,Animal Agriculture,1,30,0.03333333333333333,43,0.023255813953488372
Illinois,IL,Midwest,East North Central,1,Food Processing & Production,2,30,0.06666666666666667,43,0.046511627906976744
Illinois,IL,Midwest,East North Central,1,Horticulture & Landscaping,30,30,1,43,0.6976744186046512
Indiana,IN,Midwest,East North Central,1,Horticulture & Landscaping,9,9,1,16,0.5625
Iowa,IA,Midwest,West North Central,1,Animal Agriculture,6,9,0.6666666666666666,9,0.6666666666666666
Iowa,IA,Midwest,West North Central,1,Crops & Silviculture,6,9,0.6666666666666666,9,0.6666666666666666
Iowa,IA,Midwest,West North Central,1,Food Processing & Production,1,9,0.1111111111111111,9,0.1111111111111111
Iowa,IA,Midwest,West North Central,1,Horticulture & Landscaping,8,9,0.8888888888888888,9,0.8888888888888888
Kansas,KS,Midwest,West North Central,1,Animal Agriculture,1,5,0.2,9,0.1111111111111111
Kansas,KS,Midwest,West North Central,1,Horticulture & Landscaping,4,5,0.8,9,0.4444444444444444
Kentucky,KY,South,East South Central,1,Animal Agriculture,2,6,0.3333333333333333,12,0.16666666666666666
Kentucky,KY,South,East South Central,1,Crops & Silviculture,1,6,0.16666666666666666,12,0.08333333333333333
Kentucky,KY,South,East South Central,1,Horticulture & Landscaping,6,6,1,12,0.5
Louisiana,LA,South,West South Central,1,Animal Agriculture,5,8,0.625,9,0.5555555555555556
Louisiana,LA,South,West South Central,1,Crops & Silviculture,3,8,0.375,9,0.3333333333333333
Louisiana,LA,South,West South Central,1,Food Processing & Production,1,8,0.125,9,0.1111111111111111
Louisiana,LA,South,West South Central,1,Horticulture & Landscaping,4,8,0.5,9,0.4444444444444444
Maine,ME,Northeast,New England,1,Animal Agriculture,1,4,0.25,5,0.2
Maine,ME,Northeast,New England,1,Crops & Silviculture,2,4,0.5,5,0.4
Maine,ME,Northeast,New England,1,Horticulture & Landscaping,2,4,0.5,5,0.4
Maryland,MD,South,South Atlantic,1,Animal Agriculture,2,12,0.16666666666666666,23,0.08695652173913043
Maryland,MD,South,South Atlantic,1,Crops & Silviculture,1,12,0.08333333333333333,23,0.043478260869565216
Maryland,MD,South,South Atlantic,1,Food Processing & Production,2,12,0.16666666666666666,23,0.08695652173913043
Maryland,MD,South,South Atlantic,1,Horticulture & Landscaping,9,12,0.75,23,0.391304347826087
Massachusetts,MA,Northeast,New England,1,Horticulture & Landscaping,9,9,1,16,0.5625
Michigan,MI,Midwest,East North Central,1,Horticulture & Landscaping,16,16,1,31,0.5161290322580645
Minnesota,MN,Midwest,West North Central,1,Animal Agriculture,3,9,0.3333333333333333,13,0.23076923076923078
Minnesota,MN,Midwest,West North Central,1,Crops & Silviculture,3,9,0.3333333333333333,13,0.23076923076923078
Minnesota,MN,Midwest,West North Central,1,Food Processing & Production,1,9,0.1111111111111111,13,0.07692307692307693
Minnesota,MN,Midwest,West North Central,1,Horticulture & Landscaping,9,9,1,13,0.6923076923076923
Mississippi,MS,South,East South Central,1,Crops & Silviculture,2,3,0.6666666666666666,10,0.2
Mississippi,MS,South,East South Central,1,Horticulture & Landscaping,2,3,0.6666666666666666,10,0.2
Missouri,MO,Midwest,West North Central,1,Animal Agriculture,2,22,0.09090909090909091,32,0.0625
Missouri,MO,Midwest,West North Central,1,Crops & Silviculture,1,22,0.045454545454545456,32,0.03125
Missouri,MO,Midwest,West North Central,1,Food Processing & Production,2,22,0.09090909090909091,32,0.0625
Missouri,MO,Midwest,West North Central,1,Horticulture & Landscaping,22,22,1,32,0.6875
Montana,MT,West,Mountain,1,Animal Agriculture,1,2,0.5,2,0.5
Montana,MT,West,Mountain,1,Crops & Silviculture,1,2,0.5,2,0.5
Montana,MT,West,Mountain,1,Food Processing & Production,1,2,0.5,2,0.5
Montana,MT,West,Mountain,1,Horticulture & Landscaping,2,2,1,2,1
Nebraska,NE,Midwest,West North Central,1,Horticulture & Landscaping,6,6,1,9,0.6666666666666666
Nevada,NV,West,Mountain,1,Animal Agriculture,1,7,0.14285714285714285,19,0.05263157894736842
Nevada,NV,West,Mountain,1,Crops & Silviculture,3,7,0.42857142857142855,19,0.15789473684210525
Nevada,NV,West,Mountain,1,Horticulture & Landscaping,6,7,0.8571428571428571,19,0.3157894736842105
New Hampshire,NH,Northeast,New England,1,Horticulture & Landscaping,1,1,1,7,0.14285714285714285
New Jersey,NJ,Northeast,Middle Atlantic,1,Animal Agriculture,2,6,0.3333333333333333,11,0.18181818181818182
New Jersey,NJ,Northeast,Middle Atlantic,1,Food Processing & Production,3,6,0.5,11,0.2727272727272727
New Jersey,NJ,Northeast,Middle Atlantic,1,Horticulture & Landscaping,6,6,1,11,0.5454545454545454
New Mexico,NM,West,Mountain,1,Animal Agriculture,1,3,0.3333333333333333,7,0.14285714285714285
New Mexico,NM,West,Mountain,1,Horticulture & Landscaping,2,3,0.6666666666666666,7,0.2857142857142857
New York,NY,Northeast,Middle Atlantic,1,Animal Agriculture,1,27,0.037037037037037035,53,0.018867924528301886
New York,NY,Northeast,Middle Atlantic,1,Horticulture & Landscaping,27,27,1,53,0.5094339622641509
North Carolina,NC,South,South Atlantic,1,Animal Agriculture,1,26,0.038461538461538464,55,0.01818181818181818
North Carolina,NC,South,South Atlantic,1,Crops & Silviculture,8,26,0.3076923076923077,55,0.14545454545454545
North Carolina,NC,South,South Atlantic,1,Food Processing & Production,3,26,0.11538461538461539,55,0.05454545454545454
North Carolina,NC,South,South Atlantic,1,Horticulture & Landscaping,24,26,0.9230769230769231,55,0.43636363636363634
North Dakota,ND,Midwest,West North Central,1,Horticulture & Landscaping,3,3,1,3,1
Ohio,OH,Midwest,East North Central,1,Animal Agriculture,2,22,0.09090909090909091,27,0.07407407407407407
Ohio,OH,Midwest,East North Central,1,Food Processing & Production,4,22,0.18181818181818182,27,0.14814814814814814
Ohio,OH,Midwest,East North Central,1,Horticulture & Landscaping,20,22,0.9090909090909091,27,0.7407407407407407
Oklahoma,OK,South,West South Central,1,Animal Agriculture,10,14,0.7142857142857143,24,0.4166666666666667
Oklahoma,OK,South,West South Central,1,Crops & Silviculture,10,14,0.7142857142857143,24,0.4166666666666667
Oklahoma,OK,South,West South Central,1,Food Processing & Production,3,14,0.21428571428571427,24,0.125
Oklahoma,OK,South,West South Central,1,Horticulture & Landscaping,7,14,0.5,24,0.2916666666666667
Oregon,OR,West,Pacific,1,Animal Agriculture,2,14,0.14285714285714285,14,0.14285714285714285
Oregon,OR,West,Pacific,1,Crops & Silviculture,1,14,0.07142857142857142,14,0.07142857142857142
Oregon,OR,West,Pacific,1,Horticulture & Landscaping,14,14,1,14,1
Pennsylvania,PA,Northeast,Middle Atlantic,1,Animal Agriculture,3,12,0.25,36,0.08333333333333333
Pennsylvania,PA,Northeast,Middle Atlantic,1,Crops & Silviculture,1,12,0.08333333333333333,36,0.027777777777777776
Pennsylvania,PA,Northeast,Middle Atlantic,1,Horticulture & Landscaping,11,12,0.9166666666666666,36,0.3055555555555556
Rhode Island,RI,Northeast,New England,1,Horticulture & Landscaping,3,3,1,6,0.5
South Carolina,SC,South,South Atlantic,1,Animal Agriculture,9,18,0.5,22,0.4090909090909091
South Carolina,SC,South,South Atlantic,1,Crops & Silviculture,9,18,0.5,22,0.4090909090909091
South Carolina,SC,South,South Atlantic,1,Food Processing & Production,1,18,0.05555555555555555,22,0.045454545454545456
South Carolina,SC,South,South Atlantic,1,Horticulture & Landscaping,18,18,1,22,0.8181818181818182
South Dakota,SD,Midwest,West North Central,1,Horticulture & Landscaping,2,2,1,6,0.3333333333333333
Tennessee,TN,South,East South Central,1,Animal Agriculture,1,6,0.16666666666666666,12,0.08333333333333333
Tennessee,TN,South,East South Central,1,Crops & Silviculture,3,6,0.5,12,0.25
Tennessee,TN,South,East South Central,1,Horticulture & Landscaping,6,6,1,12,0.5
Texas,TX,South,West South Central,1,Animal Agriculture,64,86,0.7441860465116279,93,0.6881720430107527
Texas,TX,South,West South Central,1,Crops & Silviculture,47,86,0.5465116279069767,93,0.5053763440860215
Texas,TX,South,West South Central,1,Food Processing & Production,8,86,0.09302325581395349,93,0.08602150537634409
Texas,TX,South,West South Central,1,Horticulture & Landscaping,66,86,0.7674418604651163,93,0.7096774193548387
Utah,UT,West,Mountain,1,Horticulture & Landscaping,1,1,1,2,0.5
Vermont,VT,Northeast,New England,1,Horticulture & Landscaping,3,3,1,6,0.5
Virginia,VA,South,South Atlantic,1,Animal Agriculture,20,29,0.6896551724137931,45,0.4444444444444444
Virginia,VA,South,South Atlantic,1,Crops & Silviculture,21,29,0.7241379310344828,45,0.4666666666666667
Virginia,VA,South,South Atlantic,1,Food Processing & Production,2,29,0.06896551724137931,45,0.044444444444444446
Virginia,VA,South,South Atlantic,1,Horticulture & Landscaping,26,29,0.896551724137931,45,0.5777777777777777
Washington,WA,West,Pacific,1,Animal Agriculture,11,12,0.9166666666666666,12,0.9166666666666666
Washington,WA,West,Pacific,1,Crops & Silviculture,5,12,0.4166666666666667,12,0.4166666666666667
Washington,WA,West,Pacific,1,Food Processing & Production,2,12,0.16666666666666666,12,0.16666666666666666
Washington,WA,West,Pacific,1,Horticulture & Landscaping,12,12,1,12,1
West Virginia,WV,South,South Atlantic,1,Crops & Silviculture,3,8,0.375,24,0.125
West Virginia,WV,South,South Atlantic,1,Horticulture & Landscaping,8,8,1,24,0.3333333333333333
Wisconsin,WI,Midwest,East North Central,1,Animal Agriculture,6,25,0.24,37,0.16216216216216217
Wisconsin,WI,Midwest,East North Central,1,Crops & Silviculture,3,25,0.12,37,0.08108108108108109
Wisconsin,WI,Midwest,East North Central,1,Food Processing & Production,2,25,0.08,37,0.05405405405405406
Wisconsin,WI,Midwest,East North Central,1,Horticulture & Landscaping,25,25,1,37,0.6756756756756757
Wyoming,WY,West,Mountain,1,Animal Agriculture,2,3,0.6666666666666666,5,0.4
Wyoming,WY,West,Mountain,1,Crops & Silviculture,2,3,0.6666666666666666,5,0.4
Wyoming,WY,West,Mountain,1,Horticulture & Landscaping,3,3,1,5,0.6
